,pid,ASIN,product_name,review,rating,img_link
33,33,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Had ordered 2 of them. One was fine but another had broken cap and white tape was applied on that. It was delivered knowingly and seller's standard is very low (knowing product is non-return/replace) that they can't respect customer.,3.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/51DEo0B1JxL.jpg,https://images-na.ssl-images-amazon.com/images/I/51QI-krD+RL.jpg"
34,34,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",There is no problem in the product. But the packing was very bad. Parcel received in totally loose condition and the bottle is approximately half leakage.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/713w24WgDcL.jpg,https://images-na.ssl-images-amazon.com/images/I/71EWx3UHlaL.jpg,https://images-na.ssl-images-amazon.com/images/I/71bkZSBlmcL.jpg,https://images-na.ssl-images-amazon.com/images/I/71jyV9BLZ7L.jpg"
35,35,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Very poor quality and already it was open  no seal given...half of lotion gone out never aspect from Amazon,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71Ecrdf-FcL.jpg
36,36,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Really Very moisturizing....this product very good for skin... such a amazing product I love it,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/712PqrdqH6L.jpg
37,37,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Received it a day before nd m very much satisfied with the way it was packaged. Got it without any product issues...no leakage,no bottle breaking problems.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71xBUNJqBhL.jpg
38,38,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Good Product, its work on winter...On time Delivery...",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61oagG0WQyL.jpg,https://images-na.ssl-images-amazon.com/images/I/71CR2THjH1L.jpg"
39,39,B07W8GZGPP,"Vaseline Healthy Bright Daily Brightening Body Lotion, 400 ml","This is good. I like the smell. The fragrance lasts long. As for the moisturizing effect, you might want to reapply after 6 or 8 hours. But the skin doesn't dry out. It leaves a white sheen after applying and it gets absorbed after 10 minutes. It's to be expected as this has sunscreen. I liked the product, it suits my skin (dry skin) and it serves the purpose. Worth the money. If you have dry skin go for it.",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61HUg4DjOzL.jpg,https://images-na.ssl-images-amazon.com/images/I/61nQBOJN3+L.jpg,https://images-na.ssl-images-amazon.com/images/I/61tCeQAiMIL.jpg"
40,40,B07W8GZGPP,"Vaseline Healthy Bright Daily Brightening Body Lotion, 400 ml",Vary nice product at this range....I bought it for Rs 225It doesn't makes your face oily and gets quickly absorbed giving you a instant bright and glowing finishLove this product(^_^),5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71zSWJLE-8L.jpg
41,41,B07W8GZGPP,"Vaseline Healthy Bright Daily Brightening Body Lotion, 400 ml",Leakage and broken,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61ODzpCEH0L.jpg,https://images-na.ssl-images-amazon.com/images/I/61m7gGO5tdL.jpg,https://images-na.ssl-images-amazon.com/images/I/61m7gGO5tdL.jpg"
42,42,B07W8GZGPP,"Vaseline Healthy Bright Daily Brightening Body Lotion, 400 ml",I just love it too much the scent are really nice r u thinking to buy so quickly buy,4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61Imd5pSMfL.jpg,https://images-na.ssl-images-amazon.com/images/I/713IXBOKNiL.jpg"
43,43,B07W8GZGPP,"Vaseline Healthy Bright Daily Brightening Body Lotion, 400 ml",Plastic Lever is broken and not functioningKindly replace the item,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61cWV+qqGDL.jpg
44,44,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml",Nivea is an awesome brand.....this express hydration lotion quickly observers into your skin and gives a smooth touch and with regular use it makes your skin Hydrated,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61pjDRvxMEL.jpg,https://images-na.ssl-images-amazon.com/images/I/71arSoO+0EL.jpg"
45,45,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml",The bottle received was broken. Not much but a small amount of lotion was leaked out.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71BvZuF63tL.jpg,https://images-na.ssl-images-amazon.com/images/I/71QvzhlsqOL.jpg"
46,46,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml","Mfg date is Nov 2017,no expiry date (it has been hidden by the Amazon label. Bottle itself is dirty and the worst part is, this product is not returnable. I just have to trash it as I cannot risk my skin. It is totally disgusting. Please do not buy body care, personal care products which are not returnable.",1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61zWWVNZTxL.jpg,https://images-na.ssl-images-amazon.com/images/I/71uccwpxMxL.jpg"
47,47,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml",I had order two bottels of nivea express hydration one of which was broken.quite disappointed with the delievery,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71iDeiXOlbL.jpg
48,48,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml",Excellent product quality,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71w-JBgKv3L.jpg
49,49,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml","Nice product at nominal cost if you club it with any other product for free delivery from amazon ; it has a light smell and works as a nice moisturizer  , as I always use Nivea moisturizers , so it acted as a reliable product to be purchased from amazon.👍",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61RaHKB7bqL.jpg
50,50,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml",I got damage piece.. very difficult to use.. product is fine... I expected Amazon packing was very good. But it's very sad..,2.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/616DMEMKYsL.jpg,https://images-na.ssl-images-amazon.com/images/I/61G0y+HdysL.jpg,https://images-na.ssl-images-amazon.com/images/I/61i3qM2SUrL.jpg"
51,51,B006LX9WCM,"NIVEA Body Lotion, Express Hydration, For Normal Skin, 400 ml",Good moisturizer lotion for winter .,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61fya5otZYL.jpg
52,52,B079QDJCLD,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 200ml", Hello AmazonThe product was open. Sending pictures,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/7180kwJ5UKL.jpg,https://images-na.ssl-images-amazon.com/images/I/71LH3L-mGzL.jpg"
53,53,B079QDJCLD,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 200ml",Loved its scent...presentation is too good...buy this,4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71Pp+P92WML.jpg,https://images-na.ssl-images-amazon.com/images/I/71da-qKLsoL.jpg,https://images-na.ssl-images-amazon.com/images/I/71z3dYw3rFL.jpg"
54,54,B079QDJCLD,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 200ml",Received broken item... lotion is completely spilled,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71-7RPjbi5L.jpg
55,55,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml","This is called marketing strategy. We usually don't see the small things BUT WE SHOULD DO. As you can see this product is still sealed BTW. I am glad I have learnt something new today, from these kind of scams nevertheless.",1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/7101qESXNmL.jpg
56,56,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",Good for summer days for hydrate and smooth skin,4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61rx56uOHYL.jpg,https://images-na.ssl-images-amazon.com/images/I/71nGH+EarEL.jpg"
57,57,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",Best summer suiting body lotion from Nivea. I like to keep it in a cold atmosphere so that as soon as I reach home burnt out I can have the cooling effect of cold aloe vera on my skin which instantly soothes all the sun burn.This body lotion absorbs in not time leaving a fresh fragrance. Best thing is it non greasy.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71byTPMbJzL.jpg,https://images-na.ssl-images-amazon.com/images/I/71hK7P3MuaL.jpg"
58,58,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",I have open the packing of niviea body lotion when i see product is damged. And pump is not working properly lotion is wasteing after pumping. toatally waste of money. Amazon cheated with me more discount and more damaged.,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61tahwxmnUL.jpg
59,59,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",I ordered this bottle online and the bottle was defective.There is no return policy incase of defective product also,2.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/618ZgvxjvmL.jpg,https://images-na.ssl-images-amazon.com/images/I/61fZQykz5uL.jpg"
60,60,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",Product was broken,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61svT9K7pQL.jpg
61,61,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",Refreshing product by Nivea with good frgrance and moisturization. Recommended for summer.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61dstwPS8yL.jpg
62,62,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",This is a counterfeit product. I have original one and i can totally tell the difference in fake and original.Amazon should through check their vendors.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/714LaE43d1L.jpg,https://images-na.ssl-images-amazon.com/images/I/71Jc-gcKEkL.jpg"
63,63,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",Product is very nice.Packaging was good. MRP was rs. 365 while i got it in rs. 267.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71F47ppwcWL.jpg
64,64,B079KGC4NZ,"NIVEA Body Lotion, Aloe Hydration, For Normal Skin, 400ml",Nice product for all skin type,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/51WeqiOrZGL.jpg
65,65,B07LFDT53L,Mamaearth Hydrating Natural Body Lotion with Cucumber & Aloevera for Men & Women with Normal Skin for all seasons 250 ml,The product is amazing but only one thing is the scent/smell .I known that it contains all natural products but I to be honest didn't like the smello at all bcs of that I cannot apply it on my face,2.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/615b56U0mrL.jpg,https://images-na.ssl-images-amazon.com/images/I/61u1oiQYEJL.jpg"
66,66,B07LFDT53L,Mamaearth Hydrating Natural Body Lotion with Cucumber & Aloevera for Men & Women with Normal Skin for all seasons 250 ml,Must buy product.Delivery in nice conditionProduct is niceFree from harmful chemicalsGood for skinNatural,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/716AmnvRsHL.jpg,https://images-na.ssl-images-amazon.com/images/I/71rczWTUuNL.jpg,https://images-na.ssl-images-amazon.com/images/I/81fpdCyyPJL.jpg"
67,67,B07LFDT53L,Mamaearth Hydrating Natural Body Lotion with Cucumber & Aloevera for Men & Women with Normal Skin for all seasons 250 ml,"Keeps my skin hydrated, smooth and soft",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/711MqvNQagL.jpg
68,68,B07LFDT53L,Mamaearth Hydrating Natural Body Lotion with Cucumber & Aloevera for Men & Women with Normal Skin for all seasons 250 ml,Nice product.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71kBfDR2x3L.jpg
69,69,B07LFDT53L,Mamaearth Hydrating Natural Body Lotion with Cucumber & Aloevera for Men & Women with Normal Skin for all seasons 250 ml,seal broken otherwise its a decent product ..likes it❤️❤️,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/715S989LiUL.jpg
70,70,B01659Y9WO,"Aveeno Skin Relief Moisturizing Lotion, 354 ml","It’s not original. Tried it once and haven’t used it again. The bottle lies untouched. Horrible “scent” and the feel of the product after use is just not right.I have been using this lotion since a long time now, was buying it from outside India. When I saw this product on Amazon, thought it would be genuine original product but it is not. My husband has a super sensitive skin, prone to rashes and the original product has been giving him good relief. After using this product just once his skin was burning and the smell made him nauseous.Humble request, please do not buy! It’s a fake product. It’s your skin please be careful what you put on it. A sheer waste of money and harming your own skin.",1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71TTGeD5LkL.jpg,https://images-na.ssl-images-amazon.com/images/I/71tzDBr0h3L.jpg"
71,71,B01659Y9WO,"Aveeno Skin Relief Moisturizing Lotion, 354 ml","Product came properly packaged. The moisturiser seems thick but spreads easily and is fast absorbent. So far, I have not suffered any breakouts even though I have sensitive skin. It moisturises deeply too. Will recommend.",4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/51F8Ub+j27L.jpg,https://images-na.ssl-images-amazon.com/images/I/61CXWDV2HQL.jpg,https://images-na.ssl-images-amazon.com/images/I/710ZT76VEoL.jpg"
72,72,B01659Y9WO,"Aveeno Skin Relief Moisturizing Lotion, 354 ml","Product is Ok but the bottle was damaged , but no damaged parts were found in package I have doubt about the seller intention.",3.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/718ohwuU6uL.jpg
73,73,B01659Y9WO,"Aveeno Skin Relief Moisturizing Lotion, 354 ml","I used it for myself , but more importantly, for my one yr old kid , and it helped a lot in making her dry skin supple and soft . Don't buy the baby aveeno as it's costlier and this one can also be used for babies .",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/717Ko6me5+L.jpg
74,74,B01659Y9WO,"Aveeno Skin Relief Moisturizing Lotion, 354 ml","First time it was perfect for my skin but the second order was fake not good at all, I have pimple break out all over my face and it's making me dark, I don't know why I got a fake product after such a wonderful first experience,",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/711jG7Q1fML.jpg
75,75,B01659Y9WO,"Aveeno Skin Relief Moisturizing Lotion, 354 ml"," Keep moisture for more time without smell, Building of moisture. Creamy white color and smooth blend texture pack absorb quick and massage well till absorb it..",4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61Aftqxp9oL.jpg,https://images-na.ssl-images-amazon.com/images/I/61nvZl6Ki3L.jpg"
76,76,B01659Y9WO,"Aveeno Skin Relief Moisturizing Lotion, 354 ml",The cream is transparent textured and spreads really well. I didn't like the smell but it feels good. And is not heavy. Smell is not worst but manageable,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/7198TdngOvL.jpg
